iter	Passed	Remaining
968	9570	306
969	9578	296
970	9587	286
971	9595	276
972	9605	266
973	9615	256
974	9624	246
975	9634	236
976	9645	227
977	9655	217
978	9665	207
979	9675	197
980	9685	187
981	9694	177
982	9704	167
983	9714	157
984	9724	148
985	9734	138
986	9744	128
987	9754	118
988	9764	108
989	9774	98
990	9784	88
991	9794	78
992	9802	69
993	9812	59
994	9823	49
995	9833	39
996	9842	29
997	9852	19
998	9862	9
999	9872	0
